,Virus,Country,Latitude,Longitude,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44
18,SARS,South Korea,35.907757000000004,127.766922,3,3,3,21,21,21,33,33,33,33,33,41,41,41,41,41,47,47,48,53,53,53,53,65,65,65,65,84,84,84,105,105,115,115,142,142,142,202,202,202,202,202,202,202,202
19,SARS,Japan,36.204824,138.252924,321,321,345,350,360,360,364,364,364,370,370,385,385,410,410,410,410,410,485,518,549,549,549,605,605,666,666,690,690,690,850,850,893,893,1049,1049,1049,1212,1212,1266,1266,1446,1446,1446,1790
20,SARS,Italy,41.87194,12.56738,14,14,19,19,23,23,26,26,26,29,29,30,30,38,38,38,50,50,50,54,56,56,56,67,67,72,72,88,88,88,88,88,96,96,102,102,102,112,112,123,123,130,130,130,146
21,SARS,Israel,31.046051000000002,34.851612,7,7,8,8,9,9,11,11,11,19,19,33,33,39,39,39,54,54,63,68,68,68,68,117,117,152,152,219,219,219,291,291,375,375,405,405,405,469,469,506,506,577,577,577,681
22,SARS,Ireland,53.41291,-8.243889999999999,1,1,1,1,1,1,3,3,3,4,4,4,4,8,8,8,11,11,12,12,12,12,12,12,12,12,12,16,16,16,23,23,23,23,29,29,29,39,39,41,41,51,51,51,74
23,SARS,India,20.593684,78.96288,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,9,9,9,9,16,16,30,30,30,30,30,44,44,64,64,64,64,64,64,64,104,104,104,104,104,129
24,SARS,Guatemala,15.783470999999999,-90.23075899999999,4,4,4,4,5,5,5,5,5,12,12,14,14,23,23,23,30,30,60,60,74,74,74,119,119,128,128,153,153,153,208,208,235,235,254,254,254,254,254,254,254,254,254,254,286
25,SARS,Greece,39.074208,21.824312,1,1,1,1,1,1,3,3,3,4,4,5,5,5,5,5,5,5,5,7,7,7,7,19,19,23,23,31,31,31,48,48,58,58,73,73,73,86,86,92,92,109,109,109,151
26,SARS,Germany,51.165690999999995,10.451526,17,17,17,17,17,17,19,19,19,28,28,28,28,43,43,43,63,63,78,95,95,95,95,170,170,195,195,238,238,238,275,275,301,301,333,333,333,366,366,417,417,470,470,470,505
27,SARS,France,46.227638,2.213749,16,16,16,16,16,16,21,21,21,24,24,26,26,47,47,47,58,58,71,73,73,73,73,80,80,118,118,131,131,131,147,147,171,171,191,191,191,235,235,277,277,300,300,300,310
28,SARS,Finland,61.92411,25.748151,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,13,13,13,13,13,26,26,26,26,26,26,26,26,26,43,43,43,47
29,SARS,El Salvador,13.794185,-88.89653,6,6,6,6,11,11,11,11,11,27,27,41,41,49,49,49,69,69,69,69,69,69,69,95,95,125,125,160,160,160,160,160,160,160,160,160,160,226,226,226,226,253,253,253,319
30,SARS,Ecuador,-1.8312389999999998,-78.183406,8,8,10,24,28,28,32,32,32,39,39,39,39,43,43,43,60,60,60,67,67,67,67,80,80,86,86,86,86,86,95,95,115,115,125,125,125,125,125,163,163,163,163,163,204
31,SARS,Denmark,56.26392,9.501785,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,7,7,8,10,11,11,11,12,12,15,15,22,22,22,23,23,34,34,41,41,41,44,44,55,55,63,63,63,66
32,SARS,Cuba,21.521757,-77.78116700000001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,7,7,15,15,15,15,15,15,15,34,34,34,34,34,46,46,73,73,73,85
33,SARS,Costa Rica,9.748917,-83.753428,20,20,28,33,33,33,33,33,33,37,37,50,50,68,68,68,68,68,93,104,104,104,104,104,104,149,149,149,149,149,149,149,189,189,222,222,222,255,255,279,279,227,227,227,277
34,SARS,Colombia,4.570868,-74.297333,12,12,13,16,16,16,17,17,17,20,20,20,20,24,24,24,25,25,35,35,35,35,35,42,42,53,53,60,60,60,71,71,71,71,72,72,72,88,88,93,93,101,101,101,118
35,SARS,China,35.86166,104.195397,11,11,15,20,22,22,30,30,30,52,52,69,69,89,89,89,108,108,142,174,188,188,188,318,318,382,382,519,519,519,739,739,906,906,1089,1089,1089,1442,1442,1518,1518,1814,1814,1814,2040
36,SARS,Chile,-35.675146999999996,-71.542969,24,24,44,74,86,86,165,165,165,250,250,313,313,369,369,369,411,411,1694,1694,1694,1694,1694,1694,1694,2335,2335,3125,3125,3125,4315,4315,4315,4315,5186,5186,5186,5186,5186,6211,6211,7376,7376,7376,7376
37,SARS,Canada,56.130366,-106.34677099999999,719,719,805,921,921,921,1118,1118,1118,1336,1336,1530,1530,1795,1795,1795,2115,2115,2446,2446,2978,2978,2978,2978,2978,4049,4049,4905,4905,4905,5710,5710,6457,6457,6732,6732,6732,7775,7775,7983,7983,7983,7983,7983,7983
38,SARS,Brazil,-14.235004,-51.92528,8,8,9,9,9,9,10,10,10,18,18,20,20,28,28,28,35,35,36,40,52,52,52,54,54,79,79,96,96,96,131,131,334,334,399,399,399,452,452,680,680,737,737,737,737
39,SARS,Belgium,50.503887,4.469936,7,7,7,7,7,7,8,8,8,12,12,13,13,13,13,13,14,14,14,14,14,14,14,17,17,19,19,19,19,19,29,29,30,30,36,36,36,43,43,47,47,49,49,49,54
40,SARS,Austria,47.516231,14.550072,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,5,7,7,7,7,7,7,7,7,8,8,8,9,9,12,12,12,12,12,12,12,15,15,15,15,15,19
41,SARS,Australia,-25.274398,133.775136,12,12,16,19,39,39,147,147,147,297,297,501,501,876,876,876,1051,1051,1224,1307,1307,1307,1307,1823,1823,2112,2112,2199,2199,2199,2436,2436,2857,2857,3280,3280,3280,4038,4038,4090,4090,4568,4568,4568,5298
42,SARS,Argentina,-38.416097,-63.616671999999994,1,1,2,5,19,19,37,37,37,100,100,131,131,147,147,147,202,202,235,256,343,343,343,343,343,733,733,918,918,918,1010,1010,1213,1213,1391,1391,1391,1488,1488,1587,1587,1587,1587,1587,2485
43,SARS,Kuwait,29.311659999999996,47.481766,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26,26,26,26,30,30,30,30,30,34,34,35,35,35,35
44,SARS,Iceland,64.96305100000001,-19.020835,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
45,SARS,Honduras,15.199998999999998,-86.241905,0,0,1,1,1,1,1,1,1,2,2,2,2,34,34,34,34,34,89,89,89,89,89,89,89,100,100,108,108,108,108,108,118,118,118,118,118,118,118,118,118,123,123,123,123
46,SARS,Singapore,1.352083,103.819836,0,0,0,0,1,1,4,4,4,5,5,9,9,12,12,12,15,15,18,18,18,18,18,47,47,49,49,77,77,77,142,142,194,194,315,315,315,599,599,701,701,878,878,878,1055
47,SARS,Bahrain,25.930414000000003,50.637772,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
48,SARS,Uruguay,-32.522779,-55.765834999999996,0,0,0,0,0,0,2,2,2,11,11,15,15,15,15,15,17,17,24,24,36,36,36,36,36,36,36,36,36,36,36,36,195,195,195,195,195,195,195,195,195,195,195,195,195
49,SARS,Slovakia,48.669026,19.699023999999998,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,7,9,9,13,13,18,18,18,18
50,SARS,Romania,45.943160999999996,24.96676,0,0,0,0,0,0,3,3,3,3,3,5,5,8,8,8,9,9,9,11,11,11,11,13,13,16,16,18,18,18,18,18,19,19,19,19,19,24,24,28,28,36,36,36,41
51,SARS,Dominican Republic,18.735692999999998,-70.162651,0,0,0,0,0,0,2,2,2,2,2,11,11,33,33,33,44,44,91,91,91,91,91,93,93,93,93,93,93,93,93,93,108,108,108,108,108,108,108,108,108,108,108,108,108
52,SARS,Czech Republic,49.817492,15.472961999999999,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,7,7,7,7,9,9,9,9,9,9,9,15,15,15,15
53,SARS,Vietnam,14.058323999999999,108.277199,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,9,9,15,16,23,23,23,25,25,27,27,27,27,27,35,35,56,56,63,63,63,84,84,123,123,131,131,131,181
54,SARS,Venezuela,6.42375,-66.58973,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,4,12,13,25,25,25,25,25,45,45,60,60,60,71,71,135,135,153,153,153,172,172,193,193,204,204,204,206
55,SARS,Paraguay,-23.442503,-58.44383199999999,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,16,25,25,25,25,25,25,25,25,27,27,27,48,48,58,58,79,79,79,85,85,96,96,103,103,103,106
56,SARS,Jamaica,18.109581,-77.297508,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,7,10,11,11,11,11,11,12,12,14,14,14,19,19,19,19,19,19,19,21,21,32,32,32,32,32,32
57,SARS,Hungary,47.162494,19.503304,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,8,8,8,8,8,10,10,11,11,11,11
58,SARS,Estonia,58.595271999999994,25.013607,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,8,8,8,13,13,13,13,13,13,13,13
59,SARS,Cyprus,35.126413,33.429859,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,9,9,9,25,25,48,48,70,70,70,109
60,SARS,Bolivia,-16.290154,-63.588653,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,5,5,5,5,7,7,11,11,11,11,11,25,25,44,44,47,47,47,126,126,205,205,283,283,283,416
61,SARS,Bahamas,25.03428,-77.39628,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,7
62,SARS,Nicaragua,12.865416,-85.207229,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,18,18,29,45,56,56,56,56,56,118,118,144,144,144,189,189,220,220,265,265,265,277,277,293,293,308,308,308,321
63,SARS,Lebanon,33.854721000000005,35.862285,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,8,8,8,8,8,8,8,11,11,12,12,12,12,12,25,25,25,25,25,25,25,39,39,47,47,47,49
64,SARS,Egypt,26.820553000000004,30.802497999999996,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8,10,10,10,10,18,18,26,26,29,29,29,39,39,40,40,43,43,43,50,50,67,67,67,67,67,78
65,SARS,Bulgaria,42.733883,25.48583,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,7,7,7,7,7,10,10,10,10,10,10
66,SARS,Saudi Arabia,23.885942,45.079162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,11,11,17,17,22,22,22,35,35,45,45,48,48,48,69,69,81,81,89,89,89,114
67,SARS,Luxembourg,49.815273,6.129583,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6
68,SARS,Barbados,13.193887,-59.543198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,10,10,10,10,10,10,10,12,12,12,12
69,SARS,United Arab Emirates,23.424076,53.847818000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,7,7,7,8,8,8,8,8,8,8,8
70,SARS,Trinidad and Tobago,10.691803,-61.222503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,5,5,5,5,18,18,18,18,18,25,25,25,25,25,53,53,53,53,53,53,53,65
71,SARS,Dominica,15.414999,-61.370976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,SARS,Cayman Islands,19.513469,-80.566956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,7,7,9,9,9,9,9,13,13,14,14,14,14
73,SARS,Ukraine,48.379433,31.16558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,SARS,Gaza Strip,31.354676,34.308825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5,5,8,8,8,8,9,9,9,9,9,13,13,30,30,30,60
75,SARS,Morocco,31.791702,-7.09262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,8,8,8,6,6,9,9,11,11,11,11,11,17,17,17,17,17,17
76,SARS,Yemen,15.552726999999999,48.516388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7,8
77,SARS,Jersey,49.214439,-2.13125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,8,8,8,8,8,8,8,11,11,11,11
78,SARS,Isle of Man,54.236107,-4.548056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,SARS,Sri Lanka,7.873054,80.77179699999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,5,5,7,7,7,9,9,15,15,17,17,17,19
80,SARS,Samoa,-13.759029,-172.10462900000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,SARS,Qatar,25.354826,51.183884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,8,8,10,10,10,10,10,10,10,10,10,10,10,10,23
83,SARS,Jordan,30.585164000000002,36.238414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,13,13,15,15,15,15,15,18,18,20,20,22,22,22,23
86,SARS,U.S. Virgin Islands,18.335765,-64.896335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
87,SARS,Bermuda,32.321384,-64.75737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,SARS,Suriname,3.9193050000000005,-56.02778299999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
89,SARS,South Africa,-30.559482,22.937506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,18
90,SARS,Papua New Guinea,-6.314993,143.95555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,SARS,Oman,21.512583,55.923255000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
92,SARS,Netherlands Antilles,12.226078999999999,-69.060087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,7,7,8,8,8,1
93,SARS,Laos,19.856270000000002,102.495496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,5
94,SARS,Martinique,14.641528,-61.024174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3
95,SARS,French Polynesia,-17.679742,-149.40684299999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,4
96,SARS,Slovenia,46.151241,14.995463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,4,4,5,5,5,14
97,SARS,Fiji,-16.578193,179.414413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
98,SARS,Brunei,4.535277,114.72766899999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,11,11,11,29,29,29,29,85,85,85,124
99,SARS,Bangladesh,23.684994,90.35633100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,12,12,12,18
100,SARS,Algeria,28.033886,1.6596259999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,5,5,5,5
101,SARS,Vanuatu,-15.376706,166.959158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2
102,SARS,Tunisia,33.886917,9.537499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,5
103,SARS,Montenegro,42.708678000000006,19.37439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,9,9,9,10
104,SARS,Latvia,56.879635,24.603189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
105,SARS,Ethiopia,9.145,40.489672999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3
106,SARS,Côte d'Ivoire,7.539989,-5.54708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
107,SARS,Cape Verde,16.002082,-24.013197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
108,SARS,Cambodia,12.565679,104.990963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,6,6,6,6,7,7,7,7
109,SARS,Antigua and Barbuda,17.060816,-61.796428000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
110,SARS,Guernsey,49.465691,-2.5852779999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,5,5,5
111,SARS,Serbia,44.016521000000004,21.005859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,12,12,15,15,15,15
112,SARS,Iran,32.427908,53.68804599999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
113,SARS,Indonesia,-0.789275,113.921327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,8,8,8,8,8,20
114,SARS,Nepal,28.394857000000002,84.12400799999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,5,5
116,SARS,Lithuania,55.169438,23.881275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3
117,SARS,Iraq,33.223191,43.679291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,11,11,11,11,12
118,SARS,Saint Lucia,13.909444,-60.97889300000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
119,SARS,Myanmar [Burma],21.913965,95.956223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
